x,y
84.5231,62.8377
84.5988,62.9645
84.6744,63.0919
84.7442,63.2108
84.9012,63.4816
84.9767,63.6145
85.0461,63.7387
85.1135,63.8609
85.1787,63.9814
85.3249,64.2555
85.3985,64.3956
85.4626,64.5183
85.529,64.6463
85.6581,64.8943
85.7334,65.0385
85.802,65.1697
85.8695,65.2987
85.9376,65.4291
86.0606,65.6658
86.1421,65.824
86.205,65.9472
86.2675,66.0703
86.3297,66.1937
86.4506,66.4377
86.5235,66.5875
86.5829,66.7111
86.6382,66.8274
86.7054,66.9713
86.812,67.2045
86.8808,67.3589
86.9369,67.4874
86.9902,67.6118
87.0445,67.741
87.1406,67.9783
87.1991,68.1279
87.2467,68.253
87.2977,68.3907
87.3421,68.5143
87.4235,68.7514
87.4726,68.9016
87.5144,69.0348
87.5525,69.1607
87.5892,69.2867
87.6534,69.5229
87.692,69.6751
87.7216,69.7986
87.7524,69.9342
87.7788,70.0577
87.8242,70.2934
87.8486,70.4354
87.8674,70.5551
87.887,70.6935
87.903,70.8206
87.9269,71.05
87.9386,71.1906
87.9473,71.319
87.9538,71.4379
87.9585,71.5525
87.9626,71.7805
87.9621,71.9151
87.96,72.0268
87.9562,72.1449
87.9508,72.2595
87.9435,72.3702
87.9233,72.5995
87.9109,72.7113
87.8967,72.8225
87.8818,72.9267
87.8644,73.0335
87.8224,73.255
87.7978,73.368
87.7743,73.4675
87.7483,73.5699
87.6973,73.7509
87.6631,73.8625
87.632,73.9578
87.5991,74.0535
87.5635,74.1512
87.5012,74.3092
87.4569,74.4136
87.3787,74.5844
87.2995,74.7421
87.2069,74.91
87.116,75.0608
86.9774,75.2681
86.9187,75.3494
86.8098,75.4918
86.6551,75.6767
86.5331,75.8114
86.413,75.9372
86.2264,76.1188
86.0897,76.2429
85.8939,76.41
85.8122,76.4754
85.6624,76.5914
85.4448,76.7515
85.3532,76.8165
85.1892,76.9296
85.0442,77.0263
84.8673,77.1405
84.7769,77.1973
84.692,77.25
84.6037,77.3036
84.3372,77.4592
84.2435,77.511
84.0816,77.6372
83.9372,77.7604
83.8463,77.8374
83.7679,77.9037
83.6761,77.9804
83.458,78.1557
83.3672,78.2246
83.2843,78.2848
83.2012,78.3422
83.035,78.4454
82.85,78.5451
82.7588,78.5898
82.5818,78.6706
82.3097,78.7897
82.1315,78.8675
82.0386,78.908
81.773,79.0254
81.6814,79.0663
81.509,79.1439
81.246,79.2643
81.0727,79.3456
80.9119,79.4254
80.7374,79.5129
80.5668,79.5974
80.4103,79.6749
80.2325,79.7628
80.0738,79.8422
79.9213,79.9197
79.7515,80.0082
79.5956,80.0907
79.4465,80.171
79.2844,80.261
79.1258,80.3526
78.9815,80.4411
78.833,80.537
78.7425,80.5968
78.6194,80.6789
78.4,80.8247
78.2471,80.9281
78.1097,81.0236
77.9554,81.1328
77.8055,81.2399
77.6636,81.3419
77.5026,81.4578
77.4178,81.5187
77.2719,81.6233
77.0303,81.7964
76.9475,81.8556
76.8648,81.9149
76.7105,82.0259
76.5353,82.1526
76.4507,82.2136
76.3669,82.2736
76.2067,82.3883
76.0322,82.5132
75.9448,82.5757
75.7746,82.6973
75.5137,82.8837
75.4228,82.9486
75.3346,83.0118
75.2525,83.0702
75.1682,83.1306
74.9806,83.2647
74.8743,83.3405
74.7891,83.4013
74.705,83.4613
74.6144,83.5261
74.4893,83.6155
74.3923,83.6849
74.2045,83.8193
74.1061,83.89
74.0098,83.9597
73.9191,84.0254
73.826,84.0925
73.6207,84.2402
73.518,84.3138
73.4168,84.3863
73.3221,84.4543
73.227,84.5223
73.0106,84.6771
72.9046,84.7527
72.7997,84.8275
72.7007,84.8981
72.6007,84.9695
72.3798,85.1272
72.2674,85.2073
72.1639,85.2811
72.0552,85.3584
71.9466,85.4356
71.7081,85.6056
71.5876,85.6915
71.4671,85.7776
