(0.227894, 8.99935)
(0.214859, 9.24605)
(0.198276, 9.53844)
(0.179898, 9.84874)
(0.163854, 10.1162)
(0.145925, 10.4159)
(0.125496, 10.7609)
(0.10822, 11.0587)
(0.0933048, 11.3198)
(0.0729572, 11.6801)
(0.0569008, 11.9676)
(0.0406122, 12.2611)
(0.0187779, 12.6515)
(0.000330793, 12.9706)
(-0.019439, 13.2947)
(-0.040437, 13.6113)
(-0.0672403, 13.9794)
(-0.0940292, 14.3118)
(-0.124102, 14.645)
(-0.156348, 14.97)
(-0.198702, 15.353)
(-0.242381, 15.7067)
(-0.289572, 16.0559)
(-0.3443, 16.4264)
(-0.410423, 16.8349)
(-0.471815, 17.1857)
(-0.53283, 17.5127)
(-0.62097, 17.9541)
(-0.70057, 18.3277)
(-0.784021, 18.6994)
(-0.861241, 19.0263)
(-0.962925, 19.4388)
(-1.06953, 19.8516)
(-1.18325, 20.273)
(-1.29601, 20.6768)
(-1.39182, 21.0121)
(-1.53105, 21.4897)
(-1.63058, 21.8262)
(-1.76326, 22.2727)
(-1.86628, 22.6194)
(-1.99886, 23.0662)
(-2.13404, 23.523)
(-2.26558, 23.9689)
(-2.39308, 24.4024)
(-2.51205, 24.8081)
(-2.63784, 25.2399)
(-2.75963, 25.6621)
(-2.89328, 26.1328)
(-3.01426, 26.5697)
(-3.14213, 27.045)
(-3.26144, 27.5042)
(-3.36772, 27.9309)
(-3.48834, 28.4371)
(-3.5923, 28.8953)
(-3.69402, 29.3697)
(-3.78706, 29.8265)
(-3.88021, 30.3102)
(-3.98278, 30.8792)
(-4.05273, 31.2914)
(-4.13363, 31.7969)
(-4.21859, 32.3664)
(-4.28696, 32.8584)
(-4.34406, 33.2961)
(-4.41281, 33.8623)
(-4.46833, 34.3562)
(-4.52154, 34.869)
(-4.58179, 35.5085)
(-4.62412, 36.0086)
(-4.6626, 36.5085)
(-4.69828, 37.0336)
(-4.72899, 37.5463)
(-4.75909, 38.1371)
(-4.78215, 38.7088)
(-4.79752, 39.1941)
(-4.80917, 39.6844)
(-4.81865, 40.3015)
(-4.82226, 40.8138)
(-4.82145, 41.3758)
(-4.81798, 41.7494)
(-4.80518, 42.4342)
(-4.78773, 43.0129)
(-4.76761, 43.5059)
(-4.74072, 44.0717)
(-4.71685, 44.5194)
(-4.6842, 45.0801)
(-4.65567, 45.5403)
(-4.62766, 45.9738)
(-4.59622, 46.4442)
(-4.55948, 46.9794)
(-4.53088, 47.3875)
(-4.50004, 47.8198)
(-4.4714, 48.2155)
(-4.43863, 48.6618)
(-4.40614, 49.0969)
(-4.37521, 49.505)
(-4.34782, 49.8616)
(-4.31837, 50.2401)
(-4.28681, 50.6406)
(-4.26001, 50.9767)
(-4.23058, 51.3414)
(-4.20206, 51.6899)
(-4.17959, 51.9615)
(-4.15207, 52.2911)
(-4.12688, 52.5908)
(-4.10042, 52.9031)
(-4.07616, 53.1868)
(-4.05117, 53.4755)
(-4.02765, 53.7446)
(-4.00564, 53.995)
(-3.98171, 54.2654)
(-3.96208, 54.4861)
(-3.94063, 54.7245)
(-3.92073, 54.9434)
(-3.90475, 55.118)
(-3.88471, 55.336)
(-3.86629, 55.535)
(-3.85225, 55.685)
(-3.83505, 55.8669)
(-3.82075, 56.0172)
(-3.80629, 56.1691)
(-3.79335, 56.3047)
(-3.78055, 56.4386)
(-3.77129, 56.5347)
(-3.75986, 56.6527)
(-3.7518, 56.7353)
(-3.74376, 56.8172)
(-3.73686, 56.8869)
(-3.73117, 56.9423)
(-3.72583, 56.9931)
(-3.72257, 57.0231)
(-3.71984, 57.0472)
(-3.71802, 57.0621)
(-3.71729, 57.0668)
(-3.717, 57.068)
(-3.71689, 57.0678)
(-3.71693, 57.0663)
(-3.71704, 57.0644)
(-3.71717, 57.0629)
(-3.71734, 57.0609)
(-3.71751, 57.0593)
(-3.71765, 57.0581)
(-3.71779, 57.0569)
(-3.7179, 57.0561)
(-3.71799, 57.0556)
(-3.71804, 57.0551)
(-3.7181, 57.055)
(-3.71814, 57.055)
(-3.71816, 57.0551)
(-3.71816, 57.0551)
(-3.71818, 57.0554)
(-3.7182, 57.0554)
(-3.71821, 57.0554)
(-3.71821, 57.0551)
(-3.71821, 57.0553)
(-3.71817, 57.0554)
(-3.71817, 57.0553)
(-3.71817, 57.0553)
(-3.71818, 57.0553)
(-3.71818, 57.0554)
(-3.71818, 57.0553)
(-3.71818, 57.0553)
(-3.71818, 57.0553)
(-3.7182, 57.0554)
(-3.7182, 57.0554)
(-3.7182, 57.0554)
